
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-12-09 17:19:19 /admin/members ........................................................................................ ~ 1.57ms
  2025-12-09 17:20:54 /dashboard ............................................................................................ ~ 0.20ms
  2025-12-09 17:20:54 /favicon.svg ........................................................................................ ~ 505.29ms
  2025-12-09 17:20:54 /favicon.ico .......................................................................................... ~ 0.02ms
  2025-12-09 17:20:57 /admin/members ........................................................................................ ~ 0.12ms
  2025-12-09 17:20:57 /admin/members/2 ......................................................................................... ~ 13s
  2025-12-09 17:21:11 /admin/members ........................................................................................ ~ 0.07ms
  2025-12-09 17:21:13 /admin/members/3 ...................................................................................... ~ 0.18ms
  2025-12-09 17:21:13 /admin/members ........................................................................................ ~ 0.05ms
  2025-12-09 17:21:16 /admin/members/4 ...................................................................................... ~ 0.17ms
  2025-12-09 17:21:16 /admin/members ........................................................................................ ~ 0.06ms
  2025-12-09 17:21:21 /admin/members/5 ...................................................................................... ~ 0.29ms
  2025-12-09 17:21:21 /admin/members ........................................................................................ ~ 0.02ms
  2025-12-09 17:21:28 /admin/members/6 ...................................................................................... ~ 0.15ms
  2025-12-09 17:21:28 /admin/members ........................................................................................ ~ 0.05ms
  2025-12-09 17:21:36 /admin/members/create ................................................................................. ~ 0.25ms
  2025-12-09 17:21:36 /admin/members/create ................................................................................. ~ 0.02ms
  2025-12-09 17:21:36 /favicon.svg ........................................................................................ ~ 505.20ms
  2025-12-09 17:21:37 /favicon.ico .......................................................................................... ~ 0.04ms
  2025-12-09 17:21:58 /admin/members ........................................................................................ ~ 0.26ms
  2025-12-09 17:22:02 /admin/users .......................................................................................... ~ 0.32ms
  2025-12-09 17:22:03 /api/admin/users ...................................................................................... ~ 0.30ms
  2025-12-09 17:22:03 /api/admin/users ...................................................................................... ~ 0.05ms
  2025-12-09 17:22:04 /admin/members ........................................................................................ ~ 0.08ms
  2025-12-09 17:22:09 /admin/members/10 ..................................................................................... ~ 0.08ms
  2025-12-09 17:22:35 /dashboard ............................................................................................ ~ 0.25ms
  2025-12-09 17:22:35 /admin/users .......................................................................................... ~ 0.05ms
  2025-12-09 17:22:35 /api/admin/users ...................................................................................... ~ 0.27ms
  2025-12-09 17:22:35 /api/admin/users ...................................................................................... ~ 0.05ms
  2025-12-09 17:22:36 /admin/members ........................................................................................ ~ 0.28ms
  2025-12-09 17:22:38 /api/admin/users ...................................................................................... ~ 0.17ms
  2025-12-09 17:22:38 /api/admin/users ...................................................................................... ~ 0.03ms
  2025-12-09 17:22:40 /api/admin/users ...................................................................................... ~ 0.19ms
  2025-12-09 17:22:40 /api/admin/users ...................................................................................... ~ 0.05ms
  2025-12-09 18:12:42 /admin/users .......................................................................................... ~ 0.37ms
  2025-12-09 18:12:42 /api/admin/users .................................................................................... ~ 505.60ms
